sex,age_group,education_level,employment_status,count
Mµnd,16-19 σr,H10 Grundskole,Selvstµndige,267
Mµnd,16-19 σr,H10 Grundskole,Medarbejdende µgtefµller,0
Mµnd,16-19 σr,H10 Grundskole,L°nmodtager med ledelsesarbejde,35
Mµnd,16-19 σr,H10 Grundskole,L°nmodtagere pσ h°jeste niveau,568
Mµnd,16-19 σr,H10 Grundskole,L°nmodtagere pσ mellemniveau,1094
Mµnd,16-19 σr,H10 Grundskole,L°nmodtagere pσ grundniveau,48582
Mµnd,16-19 σr,H10 Grundskole,Andre l°nmodtagere,11653
Mµnd,16-19 σr,H10 Grundskole,L°nmodtagere u.n.a.,8713
Mµnd,16-19 σr,H10 Grundskole,Arbejdsl°se,72
Mµnd,16-19 σr,H10 Grundskole,St°ttet beskµftigelse uden l°n,128
Mµnd,16-19 σr,H10 Grundskole,Feriedagpenge,0
Mµnd,16-19 σr,H10 Grundskole,Vejledning og opkvalificering,1111
Mµnd,16-19 σr,H10 Grundskole,Ledighedsydelse,4
Mµnd,16-19 σr,H10 Grundskole,B°rnepasningsorlov fra ledighed,0
Mµnd,16-19 σr,H10 Grundskole,Barselsfravµr fra ledighed,0
Mµnd,16-19 σr,H10 Grundskole,Sygefravµr fra ledighed,22
Mµnd,16-19 σr,H10 Grundskole,Kontanthjµlp (passiv)/integrationsydelse,1478
Mµnd,16-19 σr,H10 Grundskole,Revalidering,0
Mµnd,16-19 σr,H10 Grundskole,Ressourceforl°b,10
Mµnd,16-19 σr,H10 Grundskole,Jobafklaringsforl°b,2
Mµnd,16-19 σr,H10 Grundskole,SU-modtagere,178
Mµnd,16-19 σr,H10 Grundskole,F°rtidspension,563
Mµnd,16-19 σr,H10 Grundskole,Seniopension,0
Mµnd,16-19 σr,H10 Grundskole,Tidlig pension,0
Mµnd,16-19 σr,H10 Grundskole,Efterl°n,0
Mµnd,16-19 σr,H10 Grundskole,Fleksydelse,0
Mµnd,16-19 σr,H10 Grundskole,Folkepension,0
Mµnd,16-19 σr,H10 Grundskole,Anden pension,0
Mµnd,16-19 σr,H10 Grundskole,Personer under uddannelse (ordinµr),48952
Mµnd,16-19 σr,H10 Grundskole,Kursister,545
Mµnd,16-19 σr,H10 Grundskole,Produktionsskoleelever,0
Mµnd,16-19 σr,H10 Grundskole,Udenlandske studerende,48
Mµnd,16-19 σr,H10 Grundskole,╪vrige uden for arbejdsstyrken,5726
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Selvstµndige,59
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,Medarbejdende µgtefµller,0
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,L°nmodtager med ledelsesarbejde,15
Mµnd,16-19 σr,H20 Gymnasiale uddannelser,L°nmodtagere pσ h°jeste niveau,591
