sex,age_group,education_level,employment_status,count
1,16-29,H10,Employed,267
1,16-29,H10,Employed,0
1,16-29,H10,Employed,35
1,16-29,H10,Employed,568
1,16-29,H10,Employed,1094
1,16-29,H10,Employed,48582
1,16-29,H10,Employed,11653
1,16-29,H10,Employed,8713
1,16-29,H10,Unemployed,72
1,16-29,H10,Unemployed,128
1,16-29,H10,Unemployed,0
1,16-29,H10,Unemployed,1111
1,16-29,H10,Unemployed,4
1,16-29,H10,Unemployed,0
1,16-29,H10,Unemployed,0
1,16-29,H10,Unemployed,22
1,16-29,H10,Unemployed,1478
1,16-29,H10,Unemployed,0
1,16-29,H10,Unemployed,10
1,16-29,H10,Unemployed,2
1,16-29,H10,In Education or Training,178
1,16-29,H10,On Pension,563
1,16-29,H10,On Pension,0
1,16-29,H10,On Pension,0
1,16-29,H10,On Pension,0
1,16-29,H10,On Pension,0
1,16-29,H10,On Pension,0
1,16-29,H10,On Pension,0
1,16-29,H10,In Education or Training,48952
1,16-29,H10,In Education or Training,545
1,16-29,H10,In Education or Training,0
1,16-29,H10,In Education or Training,48
1,16-29,H10,Not in Labor Force,5726
1,16-29,H20_35,Employed,59
1,16-29,H20_35,Employed,0
1,16-29,H20_35,Employed,15
1,16-29,H20_35,Employed,591
1,16-29,H20_35,Employed,299
1,16-29,H20_35,Employed,5525
1,16-29,H20_35,Employed,1816
1,16-29,H20_35,Employed,690
1,16-29,H20_35,Unemployed,29
1,16-29,H20_35,Unemployed,4
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,9
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,47
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,In Education or Training,55
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,In Education or Training,1065
1,16-29,H20_35,In Education or Training,164
1,16-29,H20_35,In Education or Training,0
1,16-29,H20_35,In Education or Training,47
1,16-29,H20_35,Not in Labor Force,1358
1,16-29,H20_35,Employed,6
1,16-29,H20_35,Employed,0
1,16-29,H20_35,Employed,5
1,16-29,H20_35,Employed,16
1,16-29,H20_35,Employed,83
1,16-29,H20_35,Employed,560
1,16-29,H20_35,Employed,103
1,16-29,H20_35,Employed,50
1,16-29,H20_35,Unemployed,13
1,16-29,H20_35,Unemployed,1
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,1
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,3
1,16-29,H20_35,Unemployed,5
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,In Education or Training,2
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,In Education or Training,88
1,16-29,H20_35,In Education or Training,8
1,16-29,H20_35,In Education or Training,0
1,16-29,H20_35,In Education or Training,1
1,16-29,H20_35,Not in Labor Force,97
1,16-29,H20_35,Employed,0
1,16-29,H20_35,Employed,0
1,16-29,H20_35,Employed,0
1,16-29,H20_35,Employed,0
1,16-29,H20_35,Employed,0
1,16-29,H20_35,Employed,0
1,16-29,H20_35,Employed,0
1,16-29,H20_35,Employed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,Unemployed,0
1,16-29,H20_35,In Education or Training,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,On Pension,0
1,16-29,H20_35,In Education or Training,0
1,16-29,H20_35,In Education or Training,0
1,16-29,H20_35,In Education or Training,0
1,16-29,H20_35,In Education or Training,0
1,16-29,H20_35,Not in Labor Force,0
1,16-29,H40,Employed,0
1,16-29,H40,Employed,0
1,16-29,H40,Employed,0
1,16-29,H40,Employed,1
1,16-29,H40,Employed,11
1,16-29,H40,Employed,20
1,16-29,H40,Employed,32
1,16-29,H40,Employed,49
1,16-29,H40,Unemployed,1
1,16-29,H40,Unemployed,0
1,16-29,H40,Unemployed,0
1,16-29,H40,Unemployed,1
1,16-29,H40,Unemployed,0
1,16-29,H40,Unemployed,0
1,16-29,H40,Unemployed,0
1,16-29,H40,Unemployed,0
1,16-29,H40,Unemployed,1
1,16-29,H40,Unemployed,0
1,16-29,H40,Unemployed,0
1,16-29,H40,Unemployed,0
1,16-29,H40,In Education or Training,0
1,16-29,H40,On Pension,0
1,16-29,H40,On Pension,0
1,16-29,H40,On Pension,0
1,16-29,H40,On Pension,0
1,16-29,H40,On Pension,0
1,16-29,H40,On Pension,0
1,16-29,H40,On Pension,0
1,16-29,H40,In Education or Training,14
1,16-29,H40,In Education or Training,8
1,16-29,H40,In Education or Training,0
1,16-29,H40,In Education or Training,8
1,16-29,H40,Not in Labor Force,12
1,16-29,H50_60,Employed,0
1,16-29,H50_60,Employed,0
1,16-29,H50_60,Employed,0
1,16-29,H50_60,Employed,3
1,16-29,H50_60,Employed,1
1,16-29,H50_60,Employed,8
1,16-29,H50_60,Employed,7
1,16-29,H50_60,Employed,6
1,16-29,H50_60,Unemployed,7
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,1
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,In Education or Training,0
1,16-29,H50_60,On Pension,0
1,16-29,H50_60,On Pension,0
1,16-29,H50_60,On Pension,0
1,16-29,H50_60,On Pension,0
1,16-29,H50_60,On Pension,0
1,16-29,H50_60,On Pension,0
1,16-29,H50_60,On Pension,0
1,16-29,H50_60,In Education or Training,7
1,16-29,H50_60,In Education or Training,2
1,16-29,H50_60,In Education or Training,0
1,16-29,H50_60,In Education or Training,0
1,16-29,H50_60,Not in Labor Force,1
1,16-29,H50_60,Employed,0
1,16-29,H50_60,Employed,0
1,16-29,H50_60,Employed,0
1,16-29,H50_60,Employed,1
1,16-29,H50_60,Employed,0
1,16-29,H50_60,Employed,1
1,16-29,H50_60,Employed,0
1,16-29,H50_60,Employed,1
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,Unemployed,0
1,16-29,H50_60,In Education or Training,0
1,16-29,H50_60,On Pension,0
1,16-29,H50_60,On Pension,0
1,16-29,H50_60,On Pension,0
1,16-29,H50_60,On Pension,0
1,16-29,H50_60,On Pension,0
1,16-29,H50_60,On Pension,0
1,16-29,H50_60,On Pension,0
1,16-29,H50_60,In Education or Training,0
1,16-29,H50_60,In Education or Training,0
1,16-29,H50_60,In Education or Training,0
1,16-29,H50_60,In Education or Training,0
1,16-29,H50_60,Not in Labor Force,0
1,16-29,H70,Employed,0
1,16-29,H70,Employed,0
1,16-29,H70,Employed,0
1,16-29,H70,Employed,1
1,16-29,H70,Employed,2
1,16-29,H70,Employed,5
1,16-29,H70,Employed,4
1,16-29,H70,Employed,2
1,16-29,H70,Unemployed,4
1,16-29,H70,Unemployed,1
1,16-29,H70,Unemployed,0
1,16-29,H70,Unemployed,0
1,16-29,H70,Unemployed,0
1,16-29,H70,Unemployed,0
1,16-29,H70,Unemployed,0
1,16-29,H70,Unemployed,0
1,16-29,H70,Unemployed,1
1,16-29,H70,Unemployed,0
1,16-29,H70,Unemployed,0
1,16-29,H70,Unemployed,0
1,16-29,H70,In Education or Training,0
1,16-29,H70,On Pension,0
1,16-29,H70,On Pension,0
1,16-29,H70,On Pension,0
1,16-29,H70,On Pension,0
1,16-29,H70,On Pension,0
1,16-29,H70,On Pension,0
1,16-29,H70,On Pension,0
1,16-29,H70,In Education or Training,4
1,16-29,H70,In Education or Training,0
1,16-29,H70,In Education or Training,0
1,16-29,H70,In Education or Training,0
